date,crop,price_per_quintal,state,district
2022-01-01,Apple,3381.96,India_Average,National
2022-01-02,Apple,3277.19,India_Average,National
2022-01-03,Apple,3406.87,India_Average,National
2022-01-04,Apple,3551.3,India_Average,National
2022-01-05,Apple,3261.36,India_Average,National
2022-01-06,Apple,3261.37,India_Average,National
2022-01-07,Apple,3560.57,India_Average,National
2022-01-08,Apple,3426.63,India_Average,National
2022-01-09,Apple,3222.54,India_Average,National
2022-01-10,Apple,3389.52,India_Average,National
2022-01-11,Apple,3223.54,India_Average,National
2022-01-12,Apple,3223.15,India_Average,National
2022-01-13,Apple,3339.92,India_Average,National
2022-01-14,Apple,2984.31,India_Average,National
2022-01-15,Apple,3015.39,India_Average,National
2022-01-16,Apple,3207.22,India_Average,National
2022-01-17,Apple,3132.88,India_Average,National
2022-01-18,Apple,3351.85,India_Average,National
2022-01-19,Apple,3150.18,India_Average,National
2022-01-20,Apple,3066.97,India_Average,National
2022-01-21,Apple,3541.83,India_Average,National
2022-01-22,Apple,3262.75,India_Average,National
2022-01-23,Apple,3311.14,India_Average,National
2022-01-24,Apple,3064.92,India_Average,National
2022-01-25,Apple,3210.18,India_Average,National
2022-01-26,Apple,3318.3,India_Average,National
2022-01-27,Apple,3110.09,India_Average,National
2022-01-28,Apple,3361.99,India_Average,National
2022-01-29,Apple,3200.89,India_Average,National
2022-01-30,Apple,3251.87,India_Average,National
2022-01-31,Apple,3200.72,India_Average,National
2022-02-01,Apple,3845.58,India_Average,National
2022-02-02,Apple,3517.24,India_Average,National
2022-02-03,Apple,3333.48,India_Average,National
2022-02-04,Apple,3664.37,India_Average,National
2022-02-05,Apple,3304.77,India_Average,National
2022-02-06,Apple,3556.37,India_Average,National
2022-02-07,Apple,3174.75,India_Average,National
2022-02-08,Apple,3285.88,India_Average,National
2022-02-09,Apple,3554.26,India_Average,National
2022-02-10,Apple,3649.57,India_Average,National
2022-02-11,Apple,3549.77,India_Average,National
2022-02-12,Apple,3499.26,India_Average,National
2022-02-13,Apple,3466.63,India_Average,National
2022-02-14,Apple,3259.42,India_Average,National
2022-02-15,Apple,3392.94,India_Average,National
2022-02-16,Apple,3438.55,India_Average,National
2022-02-17,Apple,3705.65,India_Average,National
2022-02-18,Apple,3580.09,India_Average,National
2022-02-19,Apple,3209.35,India_Average,National
2022-02-20,Apple,3576.65,India_Average,National
2022-02-21,Apple,3451.85,India_Average,National
2022-02-22,Apple,3400.49,India_Average,National
2022-02-23,Apple,3627.26,India_Average,National
2022-02-24,Apple,3701.05,India_Average,National
2022-02-25,Apple,3683.5,India_Average,National
2022-02-26,Apple,3371.93,India_Average,National
2022-02-27,Apple,3465.2,India_Average,National
2022-02-28,Apple,3577.91,India_Average,National
2022-03-01,Apple,3775.6,India_Average,National
2022-03-02,Apple,3513.75,India_Average,National
2022-03-03,Apple,3566.58,India_Average,National
2022-03-04,Apple,3400.86,India_Average,National
2022-03-05,Apple,3384.68,India_Average,National
2022-03-06,Apple,3746.25,India_Average,National
2022-03-07,Apple,3844.12,India_Average,National
2022-03-08,Apple,3587.04,India_Average,National
2022-03-09,Apple,3780.64,India_Average,National
2022-03-10,Apple,3665.09,India_Average,National
2022-03-11,Apple,3483.88,India_Average,National
2022-03-12,Apple,3665.05,India_Average,National
2022-03-13,Apple,3876.85,India_Average,National
2022-03-14,Apple,3593.55,India_Average,National
2022-03-15,Apple,3881.64,India_Average,National
2022-03-16,Apple,3128.45,India_Average,National
2022-03-17,Apple,3747.94,India_Average,National
2022-03-18,Apple,3615.67,India_Average,National
2022-03-19,Apple,3546.18,India_Average,National
2022-03-20,Apple,3616.52,India_Average,National
2022-03-21,Apple,3242.24,India_Average,National
2022-03-22,Apple,3560.46,India_Average,National
2022-03-23,Apple,3664.28,India_Average,National
2022-03-24,Apple,3866.02,India_Average,National
2022-03-25,Apple,3506.71,India_Average,National
2022-03-26,Apple,3454.47,India_Average,National
2022-03-27,Apple,3509.68,India_Average,National
2022-03-28,Apple,3764.77,India_Average,National
2022-03-29,Apple,3659.18,India_Average,National
2022-03-30,Apple,3504.64,India_Average,National
2022-03-31,Apple,3692.39,India_Average,National
2022-04-01,Apple,3536.7,India_Average,National
2022-04-02,Apple,3690.08,India_Average,National
2022-04-03,Apple,3396.07,India_Average,National
2022-04-04,Apple,3461.95,India_Average,National
2022-04-05,Apple,3450.61,India_Average,National
2022-04-06,Apple,3262.06,India_Average,National
2022-04-07,Apple,3571.73,India_Average,National
2022-04-08,Apple,3565.56,India_Average,National
2022-04-09,Apple,3520.52,India_Average,National
2022-04-10,Apple,3478.33,India_Average,National
2022-04-11,Apple,3270.54,India_Average,National
2022-04-12,Apple,3445.59,India_Average,National
2022-04-13,Apple,3459.3,India_Average,National
2022-04-14,Apple,3378.43,India_Average,National
2022-04-15,Apple,3491.23,India_Average,National
2022-04-16,Apple,3590.72,India_Average,National
2022-04-17,Apple,3851.55,India_Average,National
2022-04-18,Apple,3550.34,India_Average,National
2022-04-19,Apple,3564.94,India_Average,National
2022-04-20,Apple,3506.51,India_Average,National
2022-04-21,Apple,3181.95,India_Average,National
2022-04-22,Apple,3514.95,India_Average,National
2022-04-23,Apple,3530.21,India_Average,National
2022-04-24,Apple,3953.1,India_Average,National
2022-04-25,Apple,3485.76,India_Average,National
2022-04-26,Apple,3572.68,India_Average,National
2022-04-27,Apple,3513.51,India_Average,National
2022-04-28,Apple,3313.95,India_Average,National
2022-04-29,Apple,3720.73,India_Average,National
2022-04-30,Apple,3651.94,India_Average,National
2022-05-01,Apple,3430.52,India_Average,National
2022-05-02,Apple,3149.95,India_Average,National
2022-05-03,Apple,3531.46,India_Average,National
2022-05-04,Apple,3068.69,India_Average,National
2022-05-05,Apple,3396.83,India_Average,National
2022-05-06,Apple,3661.43,India_Average,National
2022-05-07,Apple,3136.56,India_Average,National
2022-05-08,Apple,3206.56,India_Average,National
2022-05-09,Apple,3316.44,India_Average,National
2022-05-10,Apple,3216.93,India_Average,National
2022-05-11,Apple,3044.14,India_Average,National
2022-05-12,Apple,3311.31,India_Average,National
2022-05-13,Apple,3124.72,India_Average,National
2022-05-14,Apple,3378.14,India_Average,National
2022-05-15,Apple,3148.3,India_Average,National
2022-05-16,Apple,3555.74,India_Average,National
2022-05-17,Apple,3170.76,India_Average,National
2022-05-18,Apple,3246.86,India_Average,National
2022-05-19,Apple,3434.23,India_Average,National
2022-05-20,Apple,3096.91,India_Average,National
2022-05-21,Apple,3337.53,India_Average,National
2022-05-22,Apple,3515.68,India_Average,National
2022-05-23,Apple,3034.77,India_Average,National
2022-05-24,Apple,3330.46,India_Average,National
2022-05-25,Apple,3342.88,India_Average,National
2022-05-26,Apple,3429.0,India_Average,National
2022-05-27,Apple,3095.9,India_Average,National
2022-05-28,Apple,3082.12,India_Average,National
2022-05-29,Apple,3386.12,India_Average,National
2022-05-30,Apple,3349.0,India_Average,National
2022-05-31,Apple,3341.33,India_Average,National
2022-06-01,Apple,3051.97,India_Average,National
2022-06-02,Apple,2898.0,India_Average,National
2022-06-03,Apple,3034.84,India_Average,National
2022-06-04,Apple,3043.96,India_Average,National
2022-06-05,Apple,2892.85,India_Average,National
2022-06-06,Apple,3279.87,India_Average,National
2022-06-07,Apple,3071.07,India_Average,National
2022-06-08,Apple,2821.3,India_Average,National
2022-06-09,Apple,3098.48,India_Average,National
2022-06-10,Apple,2853.8,India_Average,National
2022-06-11,Apple,3118.06,India_Average,National
2022-06-12,Apple,3173.79,India_Average,National
2022-06-13,Apple,2876.9,India_Average,National
2022-06-14,Apple,3144.51,India_Average,National
2022-06-15,Apple,3061.92,India_Average,National
2022-06-16,Apple,3123.31,India_Average,National
2022-06-17,Apple,3284.52,India_Average,National
2022-06-18,Apple,2963.19,India_Average,National
2022-06-19,Apple,2886.94,India_Average,National
2022-06-20,Apple,2866.57,India_Average,National
2022-06-21,Apple,2877.63,India_Average,National
2022-06-22,Apple,2988.43,India_Average,National
2022-06-23,Apple,3051.17,India_Average,National
2022-06-24,Apple,3041.5,India_Average,National
2022-06-25,Apple,3124.08,India_Average,National
2022-06-26,Apple,3001.95,India_Average,National
2022-06-27,Apple,3218.03,India_Average,National
2022-06-28,Apple,2960.3,India_Average,National
2022-06-29,Apple,3408.03,India_Average,National
2022-06-30,Apple,3093.85,India_Average,National
2022-07-01,Apple,2584.28,India_Average,National
2022-07-02,Apple,2555.43,India_Average,National
2022-07-03,Apple,2765.13,India_Average,National
2022-07-04,Apple,2669.83,India_Average,National
2022-07-05,Apple,2796.39,India_Average,National
2022-07-06,Apple,2763.89,India_Average,National
2022-07-07,Apple,2690.17,India_Average,National
2022-07-08,Apple,2585.68,India_Average,National
2022-07-09,Apple,2495.5,India_Average,National
2022-07-10,Apple,2639.72,India_Average,National
2022-07-11,Apple,2815.61,India_Average,National
2022-07-12,Apple,2728.9,India_Average,National
2022-07-13,Apple,2531.83,India_Average,National
2022-07-14,Apple,2723.38,India_Average,National
2022-07-15,Apple,2752.02,India_Average,National
2022-07-16,Apple,2580.68,India_Average,National
2022-07-17,Apple,2720.75,India_Average,National
2022-07-18,Apple,2707.86,India_Average,National
2022-07-19,Apple,2545.7,India_Average,National
2022-07-20,Apple,2748.3,India_Average,National
2022-07-21,Apple,2775.71,India_Average,National
2022-07-22,Apple,2846.21,India_Average,National
2022-07-23,Apple,2842.26,India_Average,National
2022-07-24,Apple,2514.01,India_Average,National
2022-07-25,Apple,2573.39,India_Average,National
2022-07-26,Apple,2769.53,India_Average,National
2022-07-27,Apple,2769.36,India_Average,National
2022-07-28,Apple,2769.53,India_Average,National
2022-07-29,Apple,3220.12,India_Average,National
2022-07-30,Apple,2777.07,India_Average,National
2022-07-31,Apple,2853.3,India_Average,National
2022-08-01,Apple,2598.7,India_Average,National
2022-08-02,Apple,2561.17,India_Average,National
2022-08-03,Apple,2441.29,India_Average,National
2022-08-04,Apple,2574.51,India_Average,National
2022-08-05,Apple,2384.54,India_Average,National
2022-08-06,Apple,2451.01,India_Average,National
2022-08-07,Apple,2420.19,India_Average,National
2022-08-08,Apple,2490.54,India_Average,National
2022-08-09,Apple,2767.45,India_Average,National
2022-08-10,Apple,2248.81,India_Average,National
2022-08-11,Apple,2565.49,India_Average,National
2022-08-12,Apple,2280.38,India_Average,National
2022-08-13,Apple,2421.86,India_Average,National
2022-08-14,Apple,2615.44,India_Average,National
2022-08-15,Apple,2488.36,India_Average,National
2022-08-16,Apple,2346.72,India_Average,National
2022-08-17,Apple,2391.67,India_Average,National
2022-08-18,Apple,2564.67,India_Average,National
2022-08-19,Apple,2389.81,India_Average,National
2022-08-20,Apple,2507.23,India_Average,National
2022-08-21,Apple,2486.04,India_Average,National
2022-08-22,Apple,2399.57,India_Average,National
2022-08-23,Apple,2746.28,India_Average,National
2022-08-24,Apple,2559.0,India_Average,National
2022-08-25,Apple,2229.23,India_Average,National
2022-08-26,Apple,2503.51,India_Average,National
2022-08-27,Apple,2398.31,India_Average,National
2022-08-28,Apple,2586.1,India_Average,National
2022-08-29,Apple,2382.1,India_Average,National
2022-08-30,Apple,2466.16,India_Average,National
2022-08-31,Apple,2543.01,India_Average,National
2022-09-01,Apple,2503.89,India_Average,National
2022-09-02,Apple,2255.96,India_Average,National
2022-09-03,Apple,2359.86,India_Average,National
2022-09-04,Apple,2343.01,India_Average,National
2022-09-05,Apple,2321.6,India_Average,National
2022-09-06,Apple,2611.85,India_Average,National
2022-09-07,Apple,2448.6,India_Average,National
2022-09-08,Apple,2248.69,India_Average,National
2022-09-09,Apple,2510.14,India_Average,National
2022-09-10,Apple,2654.66,India_Average,National
2022-09-11,Apple,2523.9,India_Average,National
2022-09-12,Apple,2217.68,India_Average,National
2022-09-13,Apple,2341.89,India_Average,National
2022-09-14,Apple,2552.03,India_Average,National
2022-09-15,Apple,2315.08,India_Average,National
2022-09-16,Apple,2453.26,India_Average,National
2022-09-17,Apple,2492.96,India_Average,National
2022-09-18,Apple,2288.77,India_Average,National
2022-09-19,Apple,2392.86,India_Average,National
2022-09-20,Apple,2011.05,India_Average,National
2022-09-21,Apple,2277.07,India_Average,National
2022-09-22,Apple,2369.69,India_Average,National
2022-09-23,Apple,2250.27,India_Average,National
2022-09-24,Apple,2595.89,India_Average,National
2022-09-25,Apple,2228.38,India_Average,National
2022-09-26,Apple,2347.19,India_Average,National
2022-09-27,Apple,2415.69,India_Average,National
2022-09-28,Apple,2572.95,India_Average,National
2022-09-29,Apple,2227.7,India_Average,National
2022-09-30,Apple,2539.58,India_Average,National
2022-10-01,Apple,2481.65,India_Average,National
2022-10-02,Apple,2358.66,India_Average,National
2022-10-03,Apple,2537.69,India_Average,National
2022-10-04,Apple,2505.07,India_Average,National
2022-10-05,Apple,2405.95,India_Average,National
2022-10-06,Apple,2489.04,India_Average,National
2022-10-07,Apple,2432.6,India_Average,National
2022-10-08,Apple,2494.46,India_Average,National
2022-10-09,Apple,2562.5,India_Average,National
2022-10-10,Apple,2677.08,India_Average,National
2022-10-11,Apple,2326.87,India_Average,National
2022-10-12,Apple,2744.92,India_Average,National
2022-10-13,Apple,2238.29,India_Average,National
2022-10-14,Apple,2461.56,India_Average,National
2022-10-15,Apple,2553.35,India_Average,National
2022-10-16,Apple,2515.23,India_Average,National
2022-10-17,Apple,2403.16,India_Average,National
2022-10-18,Apple,2454.57,India_Average,National
2022-10-19,Apple,2419.24,India_Average,National
2022-10-20,Apple,2407.29,India_Average,National
2022-10-21,Apple,2585.75,India_Average,National
2022-10-22,Apple,2524.66,India_Average,National
2022-10-23,Apple,2394.45,India_Average,National
2022-10-24,Apple,2591.95,India_Average,National
2022-10-25,Apple,2518.5,India_Average,National
2022-10-26,Apple,2581.2,India_Average,National
2022-10-27,Apple,2558.47,India_Average,National
2022-10-28,Apple,2377.57,India_Average,National
2022-10-29,Apple,2410.91,India_Average,National
2022-10-30,Apple,2573.06,India_Average,National
2022-10-31,Apple,2556.08,India_Average,National
2022-11-01,Apple,2697.18,India_Average,National
2022-11-02,Apple,2715.84,India_Average,National
2022-11-03,Apple,2872.48,India_Average,National
2022-11-04,Apple,2620.14,India_Average,National
2022-11-05,Apple,2773.86,India_Average,National
2022-11-06,Apple,2672.7,India_Average,National
2022-11-07,Apple,2670.61,India_Average,National
2022-11-08,Apple,2848.33,India_Average,National
2022-11-09,Apple,2811.43,India_Average,National
2022-11-10,Apple,2809.82,India_Average,National
2022-11-11,Apple,2876.24,India_Average,National
2022-11-12,Apple,2702.84,India_Average,National
2022-11-13,Apple,2792.06,India_Average,National
2022-11-14,Apple,2658.11,India_Average,National
2022-11-15,Apple,2743.76,India_Average,National
2022-11-16,Apple,2682.43,India_Average,National
2022-11-17,Apple,2713.09,India_Average,National
2022-11-18,Apple,2780.35,India_Average,National
2022-11-19,Apple,2589.54,India_Average,National
2022-11-20,Apple,2982.47,India_Average,National
2022-11-21,Apple,2564.19,India_Average,National
2022-11-22,Apple,2536.08,India_Average,National
2022-11-23,Apple,2856.34,India_Average,National
2022-11-24,Apple,2806.87,India_Average,National
2022-11-25,Apple,2784.26,India_Average,National
2022-11-26,Apple,2784.83,India_Average,National
2022-11-27,Apple,2698.35,India_Average,National
2022-11-28,Apple,2578.87,India_Average,National
2022-11-29,Apple,2710.23,India_Average,National
2022-11-30,Apple,2608.58,India_Average,National
2022-12-01,Apple,3146.27,India_Average,National
2022-12-02,Apple,2977.94,India_Average,National
2022-12-03,Apple,2876.18,India_Average,National
2022-12-04,Apple,2951.79,India_Average,National
2022-12-05,Apple,3061.94,India_Average,National
2022-12-06,Apple,2915.44,India_Average,National
2022-12-07,Apple,2876.67,India_Average,National
2022-12-08,Apple,3036.55,India_Average,National
2022-12-09,Apple,3036.74,India_Average,National
2022-12-10,Apple,2923.96,India_Average,National
2022-12-11,Apple,2929.34,India_Average,National
2022-12-12,Apple,3034.81,India_Average,National
2022-12-13,Apple,2782.79,India_Average,National
2022-12-14,Apple,2788.88,India_Average,National
2022-12-15,Apple,2892.23,India_Average,National
2022-12-16,Apple,2967.98,India_Average,National
2022-12-17,Apple,3046.64,India_Average,National
2022-12-18,Apple,3221.3,India_Average,National
2022-12-19,Apple,3128.65,India_Average,National
2022-12-20,Apple,2976.01,India_Average,National
2022-12-21,Apple,2997.15,India_Average,National
2022-12-22,Apple,2849.62,India_Average,National
2022-12-23,Apple,2997.22,India_Average,National
2022-12-24,Apple,2956.7,India_Average,National
2022-12-25,Apple,3048.41,India_Average,National
2022-12-26,Apple,2875.92,India_Average,National
2022-12-27,Apple,3077.9,India_Average,National
2022-12-28,Apple,3229.91,India_Average,National
2022-12-29,Apple,2983.69,India_Average,National
2022-12-30,Apple,3060.26,India_Average,National
2022-12-31,Apple,3103.52,India_Average,National
2023-01-01,Apple,3233.8,India_Average,National
2023-01-02,Apple,3336.98,India_Average,National
2023-01-03,Apple,3302.08,India_Average,National
2023-01-04,Apple,3316.12,India_Average,National
2023-01-05,Apple,3172.45,India_Average,National
2023-01-06,Apple,3304.04,India_Average,National
2023-01-07,Apple,3382.17,India_Average,National
2023-01-08,Apple,3539.44,India_Average,National
2023-01-09,Apple,3458.28,India_Average,National
2023-01-10,Apple,3655.28,India_Average,National
2023-01-11,Apple,3173.39,India_Average,National
2023-01-12,Apple,3443.93,India_Average,National
2023-01-13,Apple,3330.25,India_Average,National
2023-01-14,Apple,3661.32,India_Average,National
2023-01-15,Apple,3166.63,India_Average,National
2023-01-16,Apple,3161.45,India_Average,National
2023-01-17,Apple,3201.1,India_Average,National
2023-01-18,Apple,2949.56,India_Average,National
2023-01-19,Apple,3213.25,India_Average,National
2023-01-20,Apple,3174.74,India_Average,National
2023-01-21,Apple,3324.81,India_Average,National
2023-01-22,Apple,3356.39,India_Average,National
2023-01-23,Apple,3609.57,India_Average,National
2023-01-24,Apple,3456.82,India_Average,National
2023-01-25,Apple,3204.81,India_Average,National
2023-01-26,Apple,3151.76,India_Average,National
2023-01-27,Apple,3381.17,India_Average,National
2023-01-28,Apple,3082.16,India_Average,National
2023-01-29,Apple,3602.19,India_Average,National
2023-01-30,Apple,3494.61,India_Average,National
2023-01-31,Apple,3222.59,India_Average,National
2023-02-01,Apple,3218.14,India_Average,National
2023-02-02,Apple,3757.87,India_Average,National
2023-02-03,Apple,3499.46,India_Average,National
2023-02-04,Apple,3737.45,India_Average,National
2023-02-05,Apple,3239.03,India_Average,National
2023-02-06,Apple,3414.14,India_Average,National
2023-02-07,Apple,3520.54,India_Average,National
2023-02-08,Apple,3527.88,India_Average,National
2023-02-09,Apple,3440.41,India_Average,National
2023-02-10,Apple,3629.22,India_Average,National
2023-02-11,Apple,3331.73,India_Average,National
2023-02-12,Apple,3494.56,India_Average,National
2023-02-13,Apple,3540.78,India_Average,National
2023-02-14,Apple,3610.15,India_Average,National
2023-02-15,Apple,3644.85,India_Average,National
2023-02-16,Apple,3321.7,India_Average,National
2023-02-17,Apple,3249.64,India_Average,National
2023-02-18,Apple,3744.46,India_Average,National
2023-02-19,Apple,3578.1,India_Average,National
2023-02-20,Apple,3387.9,India_Average,National
2023-02-21,Apple,3792.59,India_Average,National
2023-02-22,Apple,3539.97,India_Average,National
2023-02-23,Apple,3727.15,India_Average,National
2023-02-24,Apple,3531.5,India_Average,National
2023-02-25,Apple,3882.27,India_Average,National
2023-02-26,Apple,3828.52,India_Average,National
2023-02-27,Apple,3475.8,India_Average,National
2023-02-28,Apple,3690.59,India_Average,National
2023-03-01,Apple,3716.17,India_Average,National
2023-03-02,Apple,3846.35,India_Average,National
2023-03-03,Apple,3426.31,India_Average,National
2023-03-04,Apple,3723.49,India_Average,National
2023-03-05,Apple,3790.52,India_Average,National
2023-03-06,Apple,3283.43,India_Average,National
2023-03-07,Apple,3387.01,India_Average,National
2023-03-08,Apple,3232.94,India_Average,National
2023-03-09,Apple,3551.51,India_Average,National
2023-03-10,Apple,3729.16,India_Average,National
2023-03-11,Apple,3870.42,India_Average,National
2023-03-12,Apple,3613.34,India_Average,National
2023-03-13,Apple,3893.15,India_Average,National
2023-03-14,Apple,3351.58,India_Average,National
2023-03-15,Apple,3293.39,India_Average,National
2023-03-16,Apple,3590.0,India_Average,National
2023-03-17,Apple,3669.13,India_Average,National
2023-03-18,Apple,3594.11,India_Average,National
2023-03-19,Apple,3227.86,India_Average,National
2023-03-20,Apple,3583.96,India_Average,National
2023-03-21,Apple,3365.2,India_Average,National
2023-03-22,Apple,3720.54,India_Average,National
2023-03-23,Apple,3665.99,India_Average,National
2023-03-24,Apple,3430.82,India_Average,National
2023-03-25,Apple,3507.5,India_Average,National
2023-03-26,Apple,3409.34,India_Average,National
2023-03-27,Apple,3588.72,India_Average,National
2023-03-28,Apple,3771.93,India_Average,National
2023-03-29,Apple,3422.57,India_Average,National
2023-03-30,Apple,3690.73,India_Average,National
2023-03-31,Apple,3504.55,India_Average,National
2023-04-01,Apple,3380.08,India_Average,National
2023-04-02,Apple,3500.78,India_Average,National
2023-04-03,Apple,3337.43,India_Average,National
2023-04-04,Apple,3422.18,India_Average,National
2023-04-05,Apple,3308.81,India_Average,National
2023-04-06,Apple,3865.37,India_Average,National
2023-04-07,Apple,3525.82,India_Average,National
2023-04-08,Apple,3396.48,India_Average,National
2023-04-09,Apple,3557.27,India_Average,National
2023-04-10,Apple,3499.85,India_Average,National
2023-04-11,Apple,3480.73,India_Average,National
2023-04-12,Apple,3627.7,India_Average,National
2023-04-13,Apple,3652.92,India_Average,National
2023-04-14,Apple,3426.26,India_Average,National
2023-04-15,Apple,3418.28,India_Average,National
2023-04-16,Apple,3471.21,India_Average,National
2023-04-17,Apple,3114.52,India_Average,National
2023-04-18,Apple,3252.97,India_Average,National
2023-04-19,Apple,3760.16,India_Average,National
2023-04-20,Apple,3809.1,India_Average,National
2023-04-21,Apple,3475.79,India_Average,National
2023-04-22,Apple,3621.08,India_Average,National
2023-04-23,Apple,3574.39,India_Average,National
2023-04-24,Apple,4061.44,India_Average,National
2023-04-25,Apple,3716.64,India_Average,National
2023-04-26,Apple,3497.1,India_Average,National
2023-04-27,Apple,3351.46,India_Average,National
2023-04-28,Apple,3236.91,India_Average,National
2023-04-29,Apple,3555.42,India_Average,National
2023-04-30,Apple,3386.51,India_Average,National
2023-05-01,Apple,3065.33,India_Average,National
2023-05-02,Apple,3193.32,India_Average,National
2023-05-03,Apple,3121.54,India_Average,National
2023-05-04,Apple,3578.38,India_Average,National
2023-05-05,Apple,3445.47,India_Average,National
2023-05-06,Apple,3298.68,India_Average,National
2023-05-07,Apple,3544.19,India_Average,National
2023-05-08,Apple,3312.77,India_Average,National
2023-05-09,Apple,3157.89,India_Average,National
2023-05-10,Apple,3551.32,India_Average,National
2023-05-11,Apple,3388.92,India_Average,National
2023-05-12,Apple,3128.85,India_Average,National
2023-05-13,Apple,3268.59,India_Average,National
2023-05-14,Apple,3155.52,India_Average,National
2023-05-15,Apple,3071.84,India_Average,National
2023-05-16,Apple,3452.82,India_Average,National
2023-05-17,Apple,3615.05,India_Average,National
2023-05-18,Apple,3069.24,India_Average,National
2023-05-19,Apple,3392.89,India_Average,National
2023-05-20,Apple,3192.64,India_Average,National
2023-05-21,Apple,3219.62,India_Average,National
2023-05-22,Apple,3202.26,India_Average,National
2023-05-23,Apple,3157.44,India_Average,National
2023-05-24,Apple,3308.01,India_Average,National
2023-05-25,Apple,3162.89,India_Average,National
2023-05-26,Apple,3344.63,India_Average,National
2023-05-27,Apple,3291.71,India_Average,National
2023-05-28,Apple,3260.57,India_Average,National
2023-05-29,Apple,3150.25,India_Average,National
2023-05-30,Apple,3204.83,India_Average,National
2023-05-31,Apple,3424.64,India_Average,National
2023-06-01,Apple,3075.14,India_Average,National
2023-06-02,Apple,2853.37,India_Average,National
2023-06-03,Apple,3014.9,India_Average,National
2023-06-04,Apple,3112.71,India_Average,National
2023-06-05,Apple,2749.59,India_Average,National
2023-06-06,Apple,3081.5,India_Average,National
2023-06-07,Apple,2900.61,India_Average,National
2023-06-08,Apple,3085.59,India_Average,National
2023-06-09,Apple,2885.51,India_Average,National
2023-06-10,Apple,2729.27,India_Average,National
2023-06-11,Apple,2755.87,India_Average,National
2023-06-12,Apple,3007.21,India_Average,National
2023-06-13,Apple,3038.96,India_Average,National
2023-06-14,Apple,2864.35,India_Average,National
2023-06-15,Apple,3095.79,India_Average,National
2023-06-16,Apple,2750.77,India_Average,National
2023-06-17,Apple,2990.09,India_Average,National
2023-06-18,Apple,2818.35,India_Average,National
2023-06-19,Apple,2902.22,India_Average,National
2023-06-20,Apple,3007.11,India_Average,National
2023-06-21,Apple,2870.94,India_Average,National
2023-06-22,Apple,2942.32,India_Average,National
2023-06-23,Apple,3150.94,India_Average,National
2023-06-24,Apple,2913.47,India_Average,National
2023-06-25,Apple,3125.35,India_Average,National
2023-06-26,Apple,2830.54,India_Average,National
2023-06-27,Apple,3079.47,India_Average,National
2023-06-28,Apple,3216.24,India_Average,National
2023-06-29,Apple,2629.25,India_Average,National
2023-06-30,Apple,2880.47,India_Average,National
2023-07-01,Apple,2777.9,India_Average,National
2023-07-02,Apple,2672.59,India_Average,National
2023-07-03,Apple,2750.1,India_Average,National
2023-07-04,Apple,2618.46,India_Average,National
2023-07-05,Apple,2711.69,India_Average,National
2023-07-06,Apple,2678.98,India_Average,National
2023-07-07,Apple,2857.65,India_Average,National
2023-07-08,Apple,2734.35,India_Average,National
2023-07-09,Apple,2745.58,India_Average,National
2023-07-10,Apple,2644.4,India_Average,National
2023-07-11,Apple,2634.17,India_Average,National
2023-07-12,Apple,2641.6,India_Average,National
2023-07-13,Apple,2753.25,India_Average,National
2023-07-14,Apple,2643.17,India_Average,National
2023-07-15,Apple,2739.12,India_Average,National
2023-07-16,Apple,2980.18,India_Average,National
2023-07-17,Apple,2817.6,India_Average,National
2023-07-18,Apple,2655.99,India_Average,National
2023-07-19,Apple,2862.16,India_Average,National
2023-07-20,Apple,2644.91,India_Average,National
2023-07-21,Apple,2424.85,India_Average,National
2023-07-22,Apple,2563.91,India_Average,National
2023-07-23,Apple,2447.44,India_Average,National
2023-07-24,Apple,2652.55,India_Average,National
